"PID","Gr.Liv.Area","Kitchen.Qual","Lot.Area","Year.Built","Exter.Qual","Full.Bath","Half.Bath","Bsmt.Full.Bath","Bsmt.Half.Bath","TotRms.AbvGrd","Fireplaces","Garage.Cars","Garage.Finish","Wood.Deck.SF","Open.Porch.SF","Lot.Config","Bedroom.AbvGr","Kitchen.AbvGr","luxury"
528228285,1145,"Gd",3203,2006,"Gd",2,0,0,0,6,0,2,"Fin",100,116,"Inside",2,1,"Standard"
528228440,1269,"Gd",3182,2004,"Gd",2,0,0,0,6,1,2,"Fin",146,20,"Inside",2,1,"Standard"
528231020,1374,"Gd",13300,2004,"Gd",2,1,1,0,7,1,2,"Fin",100,0,"Inside",3,1,"Standard"
528240070,1960,"Gd",7851,2002,"Gd",2,1,1,0,8,2,2,"Fin",288,48,"Inside",4,1,"Standard"
528240130,1733,"Gd",8577,2004,"Gd",2,1,0,0,7,1,2,"Fin",144,48,"Inside",3,1,"Standard"
528250100,1430,"TA",7750,2000,"TA",2,1,0,0,7,1,2,"Fin",180,0,"Inside",3,1,"Standard"
528292020,2035,"Gd",9505,2001,"Gd",2,1,0,0,8,1,2,"Fin",144,48,"CulDSac",3,1,"Standard"
528328100,2599,"Gd",14774,1999,"Gd",2,1,0,0,10,1,3,"Fin",668,30,"Corner",4,1,"Luxury"
528344070,2475,"Gd",17433,1998,"Gd",2,1,0,0,7,1,3,"Fin",23,172,"CulDSac",4,1,"Luxury"
528358010,1720,"Gd",10593,1996,"Gd",2,0,1,0,7,1,2,"Fin",240,56,"Inside",3,1,"Luxury"
528363130,2622,"Gd",12256,1994,"Gd",2,1,1,0,9,2,2,"RFn",186,32,"Corner",3,1,"Luxury"
528382020,2270,"Gd",11764,1999,"Gd",2,1,0,0,9,1,3,"Fin",132,57,"CulDSac",4,1,"Luxury"
528382030,1839,"TA",16770,1998,"Gd",2,1,0,0,7,0,2,"Fin",0,81,"CulDSac",4,1,"Standard"
528386040,3238,"Gd",14720,1995,"Gd",2,1,1,0,9,1,3,"Fin",283,86,"CulDSac",4,1,"Luxury"
528445060,1595,"Gd",8987,2005,"Gd",2,0,0,0,6,1,3,"RFn",144,0,"Inside",2,1,"Standard"
528456160,1218,"Gd",9215,2009,"Gd",2,0,0,0,4,0,2,"RFn",0,136,"Inside",2,1,"Standard"
528458070,1547,"Gd",8640,2009,"TA",2,1,0,0,7,0,2,"Unf",169,45,"Inside",3,1,"Standard"
528458110,1566,"Gd",9000,2008,"Gd",2,0,1,0,7,0,2,"RFn",144,168,"Inside",3,1,"Luxury"
528477080,1947,"Gd",12552,2004,"Gd",2,1,0,0,8,1,2,"RFn",0,136,"Corner",3,1,"Luxury"
528480090,1468,"Gd",10440,2005,"Gd",2,0,1,0,6,1,2,"Fin",0,102,"Corner",2,1,"Luxury"
531367050,2084,"Gd",10142,2004,"Gd",2,1,1,0,8,0,2,"RFn",0,45,"Inside",4,1,"Standard"
531369060,1659,"Gd",11920,2004,"Gd",2,1,0,0,8,0,2,"RFn",144,68,"Inside",3,1,"Standard"
531380080,2110,"Gd",8880,1994,"Gd",2,1,1,0,8,2,2,"RFn",0,130,"Inside",3,1,"Standard"
531451110,923,"TA",8012,1980,"TA",2,0,0,0,5,1,1,"RFn",80,0,"Inside",2,1,"Standard"
531451280,1845,"Gd",11218,1992,"Gd",2,1,0,0,8,1,2,"RFn",635,104,"Inside",3,1,"Standard"
531452020,918,"TA",7892,1979,"TA",2,0,0,0,5,1,1,"Unf",28,0,"Inside",2,1,"Standard"
531452050,752,"TA",7175,1984,"TA",1,0,1,0,4,0,1,"Unf",353,0,"Inside",2,1,"Standard"
531452180,1744,"Gd",9453,1993,"Gd",2,1,0,0,7,0,2,"RFn",370,70,"CulDSac",3,1,"Standard"
531453010,1097,"TA",9672,1984,"TA",2,0,0,0,6,0,2,"Unf",0,0,"Corner",3,1,"Standard"
531453040,1564,"TA",8400,1980,"TA",2,1,0,0,7,1,2,"Unf",0,50,"Inside",3,1,"Standard"
531477050,1012,"TA",9800,1920,"TA",1,0,0,0,5,0,1,"Unf",121,0,"Corner",2,1,"Standard"
532351140,1902,"TA",8930,1978,"TA",2,0,0,0,8,0,2,"Unf",0,0,"Inside",4,2,"Standard"
532354090,1155,"Gd",11782,1961,"TA",1,0,1,0,6,0,2,"Unf",192,0,"Inside",3,1,"Standard"
532376160,894,"TA",8450,1965,"TA",1,0,1,0,5,1,1,"Unf",416,144,"Inside",3,1,"Standard"
532377060,900,"TA",9819,1967,"TA",1,0,0,0,5,0,1,"Unf",0,0,"Inside",3,1,"Standard"
532377100,1040,"TA",7500,1963,"TA",1,1,1,0,5,0,1,"Fin",0,0,"Corner",3,1,"Standard"
532378110,1040,"TA",6897,1962,"TA",1,1,1,0,6,0,1,"Unf",0,104,"Corner",3,1,"Standard"
532479070,1494,"TA",15410,1974,"TA",2,0,1,0,7,2,2,"Fin",296,0,"CulDSac",3,1,"Standard"
533130020,1923,"Gd",10186,1992,"Gd",2,1,1,0,8,1,2,"RFn",240,39,"Inside",3,1,"Standard"
533130130,2349,"Gd",13143,1993,"Gd",2,1,1,0,9,1,3,"RFn",32,130,"Inside",4,1,"Luxury"
533130160,2225,"Gd",11134,1992,"Gd",2,1,1,0,7,1,3,"RFn",198,30,"Inside",4,1,"Luxury"
533205060,1488,"Gd",4835,2004,"Gd",2,0,1,0,6,1,2,"Fin",168,50,"CulDSac",2,1,"Luxury"
533208090,1680,"Gd",3515,2004,"Gd",2,1,0,0,3,0,2,"RFn",0,111,"Inside",2,1,"Standard"
533210060,1200,"Gd",3215,2004,"Gd",2,1,0,0,4,0,2,"RFn",0,172,"Inside",2,1,"Standard"
533212010,1200,"Gd",3182,2004,"Gd",2,1,0,0,4,0,2,"RFn",0,172,"Inside",2,1,"Standard"
533212020,1200,"Gd",2544,2004,"Gd",2,1,1,0,4,0,2,"RFn",0,172,"Inside",2,1,"Standard"
533212060,1236,"Gd",2544,2005,"Gd",2,1,1,0,4,0,2,"RFn",0,166,"Inside",2,1,"Standard"
533213030,1478,"Gd",4403,2009,"Ex",2,1,1,0,7,1,2,"Fin",0,144,"Inside",2,1,"Standard"
533221090,1573,"Gd",2117,2000,"Gd",2,1,0,0,5,0,2,"Unf",0,32,"Inside",3,1,"Standard"
533221110,1512,"Gd",2980,2000,"Gd",2,1,1,0,5,0,2,"Unf",0,32,"Corner",2,1,"Standard"
533223020,1416,"Gd",2572,1999,"Gd",2,1,1,0,6,0,2,"Unf",0,44,"FR2",3,1,"Standard"
533223100,1080,"Gd",2403,2003,"Gd",2,1,0,0,4,0,2,"RFn",0,50,"FR2",2,1,"Standard"
533238045,1418,"Gd",12853,2010,"Gd",1,1,1,0,6,1,3,"RFn",160,192,"Inside",1,1,"Luxury"
533244030,1848,"Gd",7379,2000,"Gd",2,1,1,0,7,1,2,"RFn",280,184,"Inside",3,1,"Luxury"
533253060,788,"Gd",4420,1980,"Gd",1,0,1,0,3,1,2,"Fin",133,42,"CulDSac",1,1,"Standard"
533253210,1226,"Gd",3880,1978,"Gd",1,0,1,0,4,1,2,"Fin",223,78,"Inside",1,1,"Standard"
533352170,1479,"Gd",13517,1976,"Gd",2,1,0,0,6,0,2,"RFn",0,44,"CulDSac",3,1,"Standard"
534102025,1492,"Gd",8000,2002,"Gd",2,0,1,0,6,1,2,"RFn",277,137,"Inside",3,1,"Standard"
534129040,1829,"TA",10456,1967,"TA",2,0,1,0,8,0,2,"RFn",0,76,"Inside",4,1,"Standard"
534151175,2495,"Gd",10791,1993,"TA",2,1,1,0,9,1,2,"Unf",224,32,"Inside",4,1,"Standard"
534152050,1610,"Gd",10603,1977,"TA",2,0,1,0,6,2,2,"RFn",168,68,"Inside",3,1,"Standard"
534152070,1891,"TA",18837,1978,"TA",3,0,0,1,7,1,2,"RFn",0,69,"Inside",3,1,"Standard"
534152100,1714,"TA",10421,1988,"TA",2,1,0,0,7,1,2,"Unf",228,66,"Inside",3,1,"Standard"
534176060,1381,"Gd",9360,1972,"TA",1,1,1,0,5,1,2,"RFn",0,0,"Inside",3,1,"Standard"
534176230,1645,"TA",9600,1971,"TA",1,2,0,0,7,0,2,"RFn",0,78,"Inside",4,1,"Standard"
534202160,1232,"TA",9600,1966,"TA",1,1,1,0,6,0,2,"RFn",0,224,"Inside",3,1,"Standard"
534251320,1328,"TA",9790,1963,"TA",1,1,1,0,6,2,2,"Unf",0,26,"Inside",3,1,"Standard"
534401110,1209,"TA",9900,1966,"TA",1,0,1,0,6,0,2,"RFn",0,0,"Corner",3,1,"Standard"
534401140,1510,"Gd",9680,1967,"TA",2,0,1,0,6,0,2,"RFn",0,40,"Inside",3,1,"Standard"
534403360,1775,"TA",10600,1964,"TA",2,0,0,0,8,0,2,"Unf",0,172,"Inside",3,1,"Standard"
534403410,1152,"TA",14112,1964,"TA",1,0,1,0,6,1,2,"RFn",227,0,"Corner",3,1,"Standard"
534425310,1054,"Gd",8800,1963,"TA",1,0,1,0,6,0,2,"RFn",120,0,"Inside",3,1,"Standard"
534430080,1078,"Gd",9717,1950,"TA",1,0,1,0,5,0,1,"Unf",366,0,"Inside",2,1,"Standard"
534431050,2461,"TA",9724,1952,"Gd",2,0,0,0,7,2,2,"Unf",0,0,"Inside",3,1,"Standard"
534431070,1556,"TA",17360,1949,"TA",2,0,0,0,6,1,2,"Unf",0,0,"Corner",3,1,"Standard"
534475100,1063,"TA",9920,1954,"TA",1,0,1,0,6,0,1,"RFn",0,0,"Inside",3,1,"Standard"
534476260,1520,"TA",9600,1955,"TA",1,0,1,0,7,2,1,"RFn",0,0,"Inside",3,1,"Standard"
534479320,1268,"TA",7800,1954,"TA",1,0,0,0,7,1,1,"Fin",0,98,"Inside",2,1,"Standard"
535101020,1128,"Gd",11380,1966,"TA",1,0,1,0,5,1,1,"Unf",238,0,"Inside",2,1,"Standard"
535106190,2274,"TA",11600,1960,"TA",2,0,0,0,12,0,2,"Unf",0,0,"Corner",5,2,"Standard"
535125010,2207,"TA",19900,1970,"TA",2,0,1,0,7,1,2,"RFn",301,0,"Inside",3,1,"Standard"
535126040,1888,"Gd",16492,1966,"Gd",2,1,0,0,6,1,2,"Fin",0,0,"Corner",2,1,"Standard"
535152010,1604,"TA",8267,1958,"TA",2,0,0,0,8,0,2,"Unf",42,0,"Corner",4,2,"Standard"
535152050,1480,"Gd",8197,2003,"Gd",2,0,1,0,7,0,2,"RFn",252,73,"Inside",3,1,"Standard"
535152130,1143,"TA",8050,1959,"TA",1,0,1,0,6,0,1,"RFn",0,0,"Inside",3,1,"Standard"
535152150,1700,"Gd",10552,1959,"TA",1,1,0,1,6,1,2,"RFn",0,38,"Inside",4,1,"Standard"
535152250,1314,"TA",8400,1957,"TA",1,0,1,0,5,0,1,"RFn",250,0,"Inside",3,1,"Standard"
535153070,1194,"TA",8760,1959,"TA",1,0,1,0,6,0,1,"RFn",0,0,"Inside",3,1,"Standard"
535154050,1188,"TA",12160,1959,"TA",1,0,1,0,6,0,2,"RFn",0,0,"Inside",3,1,"Standard"
535175070,1264,"TA",9300,1960,"TA",1,0,1,0,6,2,2,"Unf",0,0,"Inside",3,1,"Standard"
535175180,1206,"TA",10725,1959,"TA",1,0,0,0,6,0,1,"RFn",0,21,"Inside",3,1,"Standard"
535179020,1580,"TA",10032,1959,"TA",1,1,1,0,6,2,2,"Unf",0,28,"Inside",3,1,"Standard"
535180130,1337,"TA",8382,1956,"TA",1,0,0,0,5,0,1,"Unf",0,0,"Inside",3,1,"Standard"
535302080,1064,"Fa",10950,1952,"TA",1,0,0,1,4,0,1,"Unf",0,0,"Inside",2,1,"Standard"
535302200,972,"TA",10895,1955,"TA",1,0,0,0,5,0,1,"Unf",0,0,"Corner",3,1,"Standard"
535304060,988,"TA",13587,1958,"TA",1,0,1,0,5,0,1,"Unf",0,0,"Inside",2,1,"Standard"
535304180,1057,"Gd",7922,1953,"TA",1,0,1,0,5,0,1,"Unf",0,52,"Inside",3,1,"Standard"
535325400,985,"TA",7898,1920,"TA",1,0,0,1,4,0,2,"Unf",0,0,"Corner",2,1,"Standard"
535327140,827,"TA",7200,1955,"TA",1,0,0,0,5,1,1,"Unf",0,0,"Inside",2,1,"Standard"
535350030,1086,"TA",10200,1954,"TA",1,0,1,0,6,0,2,"Unf",0,0,"Inside",3,1,"Standard"
535350040,936,"TA",5868,1956,"TA",1,0,1,0,4,0,1,"Fin",0,0,"Inside",2,1,"Standard"
535353190,1458,"TA",17503,1948,"TA",1,0,0,1,6,1,1,"Unf",192,0,"Inside",3,1,"Standard"
535377090,1056,"TA",6979,1980,"TA",0,0,2,0,4,0,2,"Unf",264,56,"Inside",0,2,"Standard"
535401080,1287,"Gd",9830,1959,"TA",1,0,1,0,7,1,2,"Fin",364,17,"Corner",3,1,"Standard"
535425010,2978,"Gd",11275,1967,"Gd",2,1,0,0,11,1,2,"Fin",240,0,"Corner",5,1,"Standard"
535450210,1224,"TA",8064,1948,"TA",1,0,1,0,5,0,1,"Unf",414,0,"Inside",3,1,"Standard"
535453070,1246,"Gd",7500,1959,"TA",1,1,1,0,6,0,1,"RFn",218,0,"Inside",3,1,"Standard"
535454070,1385,"TA",8520,1952,"TA",2,0,0,0,6,0,2,"Unf",0,0,"Corner",4,1,"Standard"
535456110,900,"Gd",7200,1951,"TA",1,0,0,1,5,0,2,"Unf",222,32,"Corner",3,1,"Standard"
535457010,1116,"TA",10000,1962,"TA",1,1,0,0,5,0,2,"Unf",0,0,"Corner",3,1,"Standard"
535457090,1175,"TA",7635,1960,"TA",1,1,0,0,6,0,2,"RFn",0,0,"Corner",3,1,"Standard"
535476350,1395,"TA",9760,1963,"TA",1,0,1,0,7,1,2,"RFn",657,0,"Inside",2,1,"Standard"
535477020,1839,"TA",7700,1966,"TA",1,1,0,0,7,1,2,"Unf",0,124,"Inside",4,1,"Standard"
902102100,1844,"TA",4800,1900,"TA",1,0,1,0,9,2,1,"Unf",84,0,"Corner",3,1,"Standard"
902106140,1028,"TA",8960,1927,"TA",1,0,0,0,5,1,2,"Unf",0,0,"Inside",2,1,"Standard"
902110090,1347,"Gd",5805,1957,"TA",1,0,1,1,6,0,2,"Unf",0,0,"Inside",3,1,"Standard"
902125080,1605,"TA",5790,1915,"Gd",2,0,0,0,8,0,1,"Unf",0,0,"Corner",3,2,"Standard"
902125160,747,"TA",4608,1945,"TA",1,0,0,0,4,0,1,"Unf",0,0,"Corner",2,1,"Standard"
902128170,804,"Gd",7200,1940,"TA",1,0,1,0,4,2,1,"Unf",0,0,"Corner",2,1,"Standard"
902206040,1316,"TA",5500,1929,"TA",1,0,1,0,6,0,2,"Unf",0,0,"Corner",3,1,"Standard"
902206130,1251,"Fa",6900,1938,"TA",1,0,0,0,6,0,1,"Unf",0,0,"Corner",3,1,"Standard"
902206220,1633,"Gd",11851,1948,"TA",1,0,0,0,7,1,1,"Unf",0,100,"Inside",3,1,"Standard"
902206240,1245,"TA",8239,1920,"TA",1,0,0,0,6,0,1,"Unf",0,0,"Inside",3,1,"Standard"
902207130,832,"TA",9656,1923,"TA",1,0,0,0,5,1,2,"Unf",0,0,"Inside",2,1,"Standard"
902207140,720,"TA",8520,1928,"TA",1,0,0,0,5,0,2,"Unf",106,0,"Inside",2,1,"Standard"
902305110,1566,"Gd",9600,1900,"Gd",2,0,0,0,7,0,1,"Unf",54,228,"Corner",3,1,"Standard"
902327040,1652,"TA",10800,1915,"TA",2,0,1,0,7,0,1,"Unf",0,0,"Inside",4,1,"Standard"
902329030,2268,"Gd",9000,1890,"Gd",3,0,0,0,7,0,2,"Unf",0,108,"Inside",3,1,"Standard"
902402010,1236,"TA",7407,1957,"TA",1,0,1,0,6,0,2,"Unf",0,158,"Inside",2,1,"Standard"
902402130,1363,"TA",7740,1910,"TA",1,0,0,0,6,0,2,"Unf",0,0,"Inside",3,1,"Standard"
902402250,2290,"TA",11340,1885,"TA",2,0,0,0,11,0,2,"Unf",0,0,"Inside",4,2,"Standard"
902403070,1470,"TA",10560,1922,"TA",1,1,0,0,6,0,2,"Unf",0,0,"Inside",2,1,"Standard"
903204040,1612,"TA",5830,1950,"TA",1,1,0,0,7,0,1,"Unf",0,0,"Corner",3,1,"Standard"
903206120,2068,"Gd",7793,1922,"TA",1,1,0,0,8,1,1,"Unf",0,0,"Corner",3,1,"Standard"
903225150,765,"Gd",5000,1925,"TA",1,0,1,0,4,0,1,"Unf",135,0,"Inside",2,1,"Standard"
903226160,1132,"TA",6000,1939,"TA",1,0,1,0,5,0,1,"Unf",0,0,"Inside",2,1,"Standard"
903227020,1196,"TA",6000,1940,"TA",1,1,0,1,6,2,2,"Unf",0,0,"Inside",3,1,"Standard"
903227150,1453,"Gd",6360,1942,"TA",1,1,0,0,7,2,1,"Unf",0,0,"Corner",3,1,"Standard"
903228150,1416,"TA",6000,1948,"TA",1,1,0,0,6,0,1,"Unf",221,0,"Inside",3,1,"Standard"
903232190,1040,"TA",6240,1936,"TA",1,0,0,0,5,0,2,"Fin",306,0,"Inside",2,1,"Standard"
903233120,1536,"TA",6240,1930,"TA",2,0,0,0,7,1,2,"Unf",0,10,"Inside",4,1,"Standard"
903234050,1068,"TA",6120,1923,"TA",1,0,1,0,5,1,1,"Unf",0,0,"Inside",2,1,"Standard"
903425110,1710,"TA",10300,1921,"TA",2,0,0,0,9,0,2,"Unf",12,11,"Inside",3,1,"Standard"
903426180,1962,"TA",8094,1915,"TA",1,1,0,0,9,1,2,"Unf",160,0,"Inside",4,1,"Standard"
903430080,1324,"TA",3068,1920,"TA",1,0,0,1,6,0,1,"Unf",0,0,"Inside",3,1,"Standard"
903450110,816,"TA",8472,1963,"Fa",1,0,1,0,5,0,2,"Unf",106,0,"Corner",2,1,"Standard"
903476030,1812,"Gd",7630,1900,"TA",2,0,0,0,8,1,2,"Unf",344,0,"Inside",4,2,"Standard"
904100140,2403,"TA",24090,1940,"TA",2,0,0,0,10,2,1,"Unf",56,0,"Inside",4,1,"Standard"
904101110,1675,"TA",15263,1959,"TA",2,0,0,0,8,2,1,"Unf",0,132,"Inside",3,1,"Standard"
904300150,1224,"Po",10632,1917,"TA",1,1,0,0,6,0,1,"Unf",0,0,"Inside",3,1,"Standard"
904350045,919,"TA",6001,1940,"TA",1,0,0,0,5,0,1,"Unf",0,0,"Inside",3,1,"Standard"
904352190,1680,"TA",6048,1910,"TA",2,0,1,0,7,1,2,"Unf",56,144,"Corner",2,2,"Standard"
905102060,1039,"TA",11625,1965,"TA",1,1,1,0,6,0,2,"Unf",0,0,"Inside",3,1,"Standard"
905103060,1392,"TA",11341,1957,"TA",1,1,1,0,5,1,2,"Unf",0,0,"Inside",3,1,"Standard"
905104210,912,"TA",8521,1967,"TA",1,0,0,0,5,1,1,"Unf",0,0,"FR2",3,1,"Standard"
905105070,1060,"Gd",8246,1968,"TA",1,0,1,0,6,1,1,"Unf",406,90,"Inside",3,1,"Standard"
905105200,892,"Gd",7800,1966,"TA",1,0,1,0,5,0,1,"Unf",0,0,"Inside",3,1,"Standard"
905106140,1352,"TA",9364,1969,"TA",1,1,0,0,7,0,1,"Fin",379,36,"Corner",4,1,"Standard"
905106170,864,"TA",7832,1968,"TA",1,0,1,0,4,0,1,"Unf",226,0,"Inside",2,1,"Standard"
905107110,1373,"TA",7424,1978,"TA",1,0,1,0,5,2,2,"Fin",0,0,"Inside",3,1,"Standard"
905107250,1440,"TA",11227,1968,"TA",1,1,0,0,7,2,2,"Unf",192,38,"Inside",4,1,"Standard"
905107320,1386,"TA",11616,1978,"TA",2,1,0,0,6,1,2,"Fin",335,0,"CulDSac",3,1,"Standard"
905109130,2260,"Gd",14000,1996,"Gd",2,1,1,0,7,0,2,"RFn",296,44,"Inside",3,1,"Luxury"
905109170,1483,"TA",20062,1977,"Gd",1,1,1,0,4,2,2,"RFn",496,0,"Inside",1,1,"Luxury"
905201030,756,"TA",9259,1927,"TA",1,0,0,0,4,0,2,"Unf",80,0,"Corner",2,1,"Standard"
905202090,1067,"Gd",9600,1950,"TA",2,0,0,0,4,0,2,"Unf",290,0,"Inside",2,1,"Standard"
905325030,1524,"Gd",23595,1979,"Gd",0,1,2,0,4,1,2,"Fin",268,0,"Inside",0,1,"Luxury"
905352140,1981,"Gd",17082,1978,"TA",2,1,1,0,8,1,2,"Fin",336,104,"CulDSac",4,1,"Standard"
905378040,1610,"Fa",18600,1938,"TA",2,0,0,1,8,1,1,"RFn",0,0,"Inside",4,1,"Standard"
905426060,835,"TA",10625,1920,"TA",1,0,0,0,5,0,1,"Unf",0,0,"Corner",2,1,"Standard"
905426200,1074,"Gd",11479,1950,"TA",1,0,1,0,6,1,1,"Unf",0,52,"Inside",3,1,"Standard"
905451320,1144,"TA",9571,1956,"TA",1,0,1,0,6,0,1,"Unf",44,0,"Inside",3,1,"Standard"
905452110,1531,"TA",9350,1947,"TA",1,0,0,0,8,1,1,"Unf",0,0,"Inside",3,1,"Standard"
905452160,1172,"TA",9525,1954,"TA",1,0,1,0,5,0,1,"Fin",240,0,"Inside",3,1,"Standard"
905453040,1212,"Gd",10420,2009,"TA",2,0,0,0,6,0,2,"RFn",100,22,"Corner",3,1,"Standard"
905453080,1508,"Gd",17485,2009,"Gd",1,0,1,0,5,2,2,"RFn",0,0,"Inside",1,1,"Luxury"
